term,year,level,country_code,country_name,school_type,characteristic_desc,characteristic,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_PA_10_exact,enrolments_pa_10_exact_percent,sess_possible_pa_10_exact,sess_overall_pa_10_exact,sess_authorised_pa_10_exact,sess_unauthorised_pa_10_exact,sess_overall_percent_pa_10_exact,sess_authorised_percent_pa_10_exact,sess_unauthorised_percent_pa_10_exact,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_White_and_Black_African,46135,10848356,457555,345747,111808,4.2,3.2,1,4640,10.1,1001980,172302,108841,63461,17.2,10.9,6.3,267405,27687,6561,409,79,6194,.,8019,27562,343916,20874,11337,71084,7881,111176,455092
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_White_and_Asian,80435,19098307,818430,650800,167630,4.3,3.4,0.9,8020,10,1772338,299100,199427,99673,16.9,11.3,5.6,501877,49913,22830,1266,191,14948,.,9946,46543,647514,43198,12668,102404,8604,166874,814388
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Any_other_Mixed_background,125100,29453447,1344487,1025033,319454,4.6,3.5,1.1,14095,11.3,3078907,536748,343073,193675,17.4,11.1,6.3,791700,79920,25989,1549,272,20739,.,21476,79534,1021179,64462,28774,202938,22534,318708,1339887
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Major_Asian_Total,686385,162050868,6929366,5347820,1581546,4.3,3.3,1,65190,9.5,14350040,2215601,1405306,810295,15.4,9.8,5.6,3792243,373648,691193,10367,181,104606,.,49110,306844,5328192,671316,58200,759743,87130,1576389,6904581
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Indian,183825,43363023,1545956,1237185,308771,3.6,2.9,0.7,12940,7,2811215,424891,282612,142279,15.1,10.1,5.1,919286,92330,84452,4452,19,38789,.,5693,86978,1231999,159191,10666,121044,15825,306726,1538725
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Pakistani,279360,65937539,3216522,2402893,813629,4.9,3.6,1.2,32645,11.7,7256907,1134354,689918,444436,15.6,9.5,6.1,1636507,161823,408352,2675,73,32818,.,29363,120303,2391914,346409,27695,395833,41549,811486,3203400
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Bangladeshi,109955,26203482,1217573,956006,261567,4.6,3.6,1,11550,10.5,2603421,393889,260282,133607,15.1,10,5.1,697513,60355,133715,646,15,12910,.,8286,41431,954871,87972,11354,147498,14399,261223,1216094
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Any_other_Asian_background,113240,26546824,949315,751736,197579,3.6,2.8,0.7,8060,7.1,1678497,262467,172494,89973,15.6,10.3,5.4,538937,59140,64674,2594,74,20089,.,5768,58132,749408,77744,8485,95368,15357,196954,946362
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Major_Black_Total,370980,86766304,2780557,2056088,724469,3.2,2.4,0.8,24855,6.7,5056606,868871,525260,343611,17.2,10.4,6.8,1430440,190686,132762,2411,129,28211,.,86655,182482,2053776,129537,68246,454092,71499,723374,2777150
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Black_Caribbean,81145,19098883,839347,586970,252377,4.4,3.1,1.3,9340,11.5,2037561,355867,208715,147152,17.5,10.2,7.2,428175,51009,2590,537,12,8197,.,35183,60907,586610,36938,29966,161587,23432,251923,838533
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Black_African,241615,56477653,1545127,1185607,359520,2.7,2.1,0.6,11550,4.8,2207767,370575,231944,138631,16.8,10.5,6.3,797762,113824,121325,1611,103,15890,.,40238,93433,1184186,73216,27107,220629,38135,359087,1543273
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Any_other_black_background,48220,11189768,396083,283511,112572,3.5,2.5,1,3965,8.2,811278,142429,84601,57828,17.6,10.4,7.1,204503,25853,8847,263,14,4124,.,11234,28142,282980,19383,11173,71876,9932,112364,395344
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Major_Chinese,26570,6233885,144973,117607,27366,2.3,1.9,0.4,970,3.7,196320,30211,20454,9757,15.4,10.4,5,82886,12934,731,589,14,7649,.,493,11810,117106,15084,1604,8851,1719,27258,144364
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Major_Any_Other_Ethnic_Group,115445,26576603,1109622,808859,300763,4.2,3,1.1,10875,9.4,2189041,361509,212747,148762,16.5,9.7,6.8,558271,72488,82695,669,388,17899,.,12993,60777,806180,91483,12864,174040,21321,299708,1105888
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minority_Ethnic_Group,1976845,463039693,20022563,14991219,5031344,4.3,3.2,1.1,204150,10.3,43698414,7372832,4559450,2813382,16.9,10.4,6.4,11054584,1149508,1005116,21561,82566,273231,.,281758,1061798,14930122,1364878,292913,3012593,342781,5013165,19943287
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Major_Unclassified,74715,14836126,752579,562490,190089,5.1,3.8,1.3,10915,14.6,1843416,343632,217632,126000,18.6,11.8,6.8,429314,45233,11986,1119,1349,7697,.,15301,46765,558764,27545,12967,133137,15124,188773,747537
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_1_and_below,669765,159030300,6992997,5713039,1279958,4.4,3.6,0.8,70505,10.5,15861396,2456240,1782668,673572,15.5,11.2,4.2,4741689,396375,108432,56,17710,113024,.,16632,277135,5671053,440981,120028,637160,73172,1271341,6942394
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_2,656125,156074725,6105641,4890690,1214951,3.9,3.1,0.8,55205,8.4,12362543,1904391,1318050,586341,15.4,10.7,4.7,3979429,354983,110040,47,15960,108618,.,22509,261822,4853408,436098,113688,590272,66198,1206256,6059664
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_3,657790,156485076,5998995,4811128,1187867,3.8,3.1,0.8,53560,8.1,11992704,1842665,1274490,568175,15.4,10.6,4.7,3903416,337365,111084,81,16839,108144,.,27117,263775,4767821,418015,108560,586107,66697,1179379,5947200
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_4,630990,150411350,5705031,4580715,1124316,3.8,3,0.7,50670,8,11422771,1754058,1226240,527818,15.4,10.7,4.6,3705441,320643,107844,82,15952,99937,.,32674,259229,4541802,395128,96500,562137,62831,1116596,5658398
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_5,607915,145276040,5494066,4426788,1067278,3.8,3,0.7,49170,8.1,11133343,1728916,1222398,506518,15.5,11,4.5,3566254,314556,104225,122,15041,91712,.,37743,259393,4389046,368266,85456,545604,60365,1059691,5448737
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_6,589750,142144587,5422389,4393599,1028790,3.8,3.1,0.7,47485,8.1,10956248,1711112,1225633,485479,15.6,11.2,4.4,3502594,323828,101167,402,15147,82375,.,42880,289323,4357716,344174,78211,539917,59395,1021697,5379413
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_7,571935,136952749,5355144,4391339,963805,3.9,3.2,0.7,47935,8.4,10917379,1876816,1303378,573438,17.2,11.9,5.3,3553228,317419,85213,193,7537,39624,.,95509,283219,4381942,186689,25660,683340,66605,962294,5344236
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_8,556760,132547114,6199756,4886244,1313512,4.7,3.7,1,62425,11.2,14125373,2529207,1682950,846257,17.9,11.9,6,3822252,412897,86339,251,7887,46471,.,155758,344282,4876137,228610,42036,952974,88167,1311787,6187924
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_9,536200,127618101,6583651,5049216,1534435,5.2,4,1.2,69250,12.9,15668215,2954099,1902112,1051987,18.9,12.1,6.7,3855997,473927,83997,293,7628,42410,.,193052,382094,5039398,219352,62760,1148885,101465,1532462,6571860
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_10,537985,128473791,7147321,5264375,1882946,5.6,4.1,1.5,77475,14.4,17663962,3558589,2178937,1379652,20.1,12.3,7.8,3939771,523278,80270,429,4830,37637,.,228221,434876,5249312,201987,97747,1455446,122685,1877865,7127177
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_11,532615,128518946,7309165,5170576,2138589,5.7,4,1.7,77070,14.5,18035427,3850027,2229405,1620622,21.3,12.4,9,3801180,527301,73069,63848,4248,24519,.,189900,474425,5158490,155250,136754,1697613,145447,2135064,7293554
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_12_and_above,535,110515,6566,3681,2885,5.9,3.3,2.6,90,16.8,17687,3280,1480,1800,18.5,8.4,10.2,2169,319,63,364,8,90,.,18,630,3661,135,149,1095,1481,2860,6521
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_Not_followed_or_missing,41645,998664,197916,90977,106939,19.8,9.1,10.7,18300,43.9,425844,185745,81852,103893,43.6,19.2,24.4,34234,3161,2770,22,1487,493,.,7384,40865,90416,6024,1870,88405,9939,106238,196654
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,FSM,FSM_eligible,994395,233518160,15606065,10539052,5067013,6.7,4.5,2.2,203490,20.5,45902266,8720639,5039633,3681006,19,11,8,7994849,848970,224789,3557,29794,79088,.,404006,903098,10488151,462960,404747,3870366,311674,5049747,15537898
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,FSM,FSM_Not_eligible,5553975,1330125238,52714761,43042442,9672319,4,3.2,0.7,457350,8.2,104254886,17448865,12308212,5140653,16.7,11.8,4.9,34378571,3453921,826954,62611,98993,715473,.,638007,2627209,42801739,2931725,562802,5530184,602834,9627545,52429284
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,FSM,FSM_unclassified,41640,998560,197812,90873,106939,19.8,9.1,10.7,18300,43.9,425740,185641,81748,103893,43.6,19.2,24.4,34234,3161,2770,22,1487,493,.,7384,40761,90312,6024,1870,88405,9939,106238,196550
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,SEN provision,SEN_provision_No_identified_SEN,5607810,1340586956,54708629,43467781,11240848,4.1,3.2,0.8,498045,8.9,113288833,18948884,12643098,6305786,16.7,11.2,5.6,35008575,3301817,908136,59491,91737,689332,.,570999,2598869,43228956,2923535,698763,6869299,700260,11191857,54420813
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,SEN provision,SEN_provision_Statement_or_EHCP,105815,24991466,1690863,1355193,335670,6.8,5.4,1.3,20935,19.8,4735354,989576,736406,253170,20.9,15.6,5.3,890560,187616,15251,1085,2443,16734,.,68144,165318,1347151,45802,26036,242313,20461,334612,1681763
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,SEN provision,SEN_provision_SEN_Support,835125,198084903,11924984,8759969,3165015,6,4.4,1.6,142025,17,32141821,6234363,3969534,2264829,19.4,12.4,7,6474885,813512,128364,5592,34671,88495,.,402979,766734,8715232,425682,242767,2290745,193830,3153024,11868256
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,SEN provision,SEN_provision_Unclassified,41265,978633,194162,89424,104738,19.8,9.1,10.7,18130,43.9,416884,182322,80555,101767,43.7,19.3,24.4,33634,3107,2762,22,1423,493,.,7275,40147,88863,5690,1853,86598,9896,104037,192900
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,First language,First_language_Known_or_believed_to_be_English,5355600,1278281391,56352080,44606539,11745541,4.4,3.5,0.9,556630,10.4,124952787,22204682,14906665,7298017,17.8,11.9,5.8,35762921,3626336,257066,55604,126809,618375,.,925469,2982958,44355538,2393015,846349,7735548,720556,11695468,56051006
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,First language,First_language_Known_or_believed_to_be_other_than_English,1218290,282790484,11997357,8943871,3053486,4.2,3.2,1.1,120375,9.9,25234316,4076596,2479324,1597272,16.2,9.8,6.3,6555221,670212,792202,10355,2959,175139,.,120278,578703,8905069,1000429,120220,1721326,199517,3041492,11946561
Autumn and spring term,201516,National,E92000001,England,State-funded primary and secondary,First language,First_language_Unclassified,16125,3570083,169201,121957,47244,4.7,3.4,1.3,2135,13.3,395789,73867,43604,30263,18.7,11,7.6,89512,9504,5245,231,506,1540,.,3650,9407,119595,7265,2850,32081,4374,46570,166165
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Total,Total,3778195,895524301,35242908,28388812,6854096,3.9,3.2,0.8,332170,8.8,72745197,11306730,7954580,3352150,15.5,10.9,4.6,23034685,2015553,633055,776,96744,597039,.,176909,1604080,28158841,2371802,596919,3452678,384713,6806112,34964953
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Gender,Gender_male,1926100,456412890,18156972,14641698,3515274,4,3.2,0.8,172680,9,37753626,5966020,4221435,1744585,15.8,11.2,4.6,11763133,1069597,323422,300,48260,301050,.,157934,860290,14523986,1194778,304461,1794153,197089,3490481,18014467
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Gender,Gender_female,1852095,439111411,17085936,13747114,3338822,3.9,3.1,0.8,159490,8.6,34991571,5340710,3733145,1607565,15.3,10.7,4.6,11271552,945956,309633,476,48484,295989,.,18975,743790,13634855,1177024,292458,1658525,187624,3315631,16950486
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_White_Total,2817385,672262724,26326003,21535188,4790815,3.9,3.2,0.7,243180,8.6,54111676,8422360,6110083,2312277,15.6,11.3,4.3,17909340,1557379,46997,545,95143,432178,.,141894,1142707,21326183,1589633,444717,2442784,271126,4748260,26074443
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_British,2544605,609468534,23142518,19141225,4001293,3.8,3.1,0.7,205735,8.1,46348942,7096898,5245631,1851267,15.3,11.3,4,15997873,1407783,22034,372,28342,381453,.,132038,982782,18952677,1388981,404313,1947871,224749,3965914,22918591
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Irish,10475,2463097,116894,89260,27634,4.7,3.6,1.1,1345,12.8,283086,49983,31492,18491,17.7,11.1,6.5,70328,6359,196,0,2403,1550,.,474,7190,88500,5301,2514,17572,2062,27449,115949
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Traveller_of_Irish_heritage,4295,867227,144196,81015,63181,16.6,9.3,7.3,2540,59.1,485726,125387,67925,57462,25.8,14,11.8,38704,2907,363,0,27531,913,.,869,9450,80737,3105,4163,52155,3381,62804,143541
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Gypsy_Roma,15570,3313776,364034,214899,149135,11,6.5,4.5,6440,41.4,1301902,271971,151918,120053,20.9,11.7,9.2,144682,10824,238,138,35148,859,.,2667,18144,212700,13993,7497,118999,7385,147874,360574
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_white_background,242435,56150090,2558361,2008789,549572,4.6,3.6,1,27120,11.2,5692020,878121,613117,265004,15.4,10.8,4.7,1657753,129506,24166,35,1719,47403,.,5846,125141,1991569,178253,26230,306187,33549,544219,2535788
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Mixed_Total,217090,51168627,2185317,1691357,493960,4.3,3.3,1,22820,10.5,4972182,785003,519872,265131,15.8,10.5,5.3,1356105,116381,36079,39,579,40796,.,13934,120125,1684038,123085,60632,278788,29557,492062,2176100
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_and_Black_Caribbean,57790,13638202,647616,479561,168055,4.7,3.5,1.2,7475,12.9,1646461,265882,169206,96676,16.1,10.3,5.9,395007,33846,1011,2,120,6309,.,6794,34963,478052,27069,25142,105370,10132,167713,645765
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_and_Black_African,29925,7017078,270999,209700,61299,3.9,3,0.9,2720,9.1,577317,89875,59380,30495,15.6,10.3,5.3,166758,15341,4145,5,76,4913,.,1494,15430,208162,15091,7592,33943,4070,60696,268858
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_and_Asian,50540,11978747,478319,387331,90988,4,3.2,0.8,4495,8.9,985495,151142,104915,46227,15.3,10.6,4.7,305981,25523,14561,17,185,12596,.,1556,25131,385550,32507,8427,45424,4233,90591,476141
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_Mixed_background,78835,18534600,788383,614765,173618,4.3,3.3,0.9,8130,10.3,1762909,278104,186371,91733,15.8,10.6,5.2,488359,41671,16362,15,198,16978,.,4090,44601,612274,48418,19471,94051,11122,173062,785336
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Asian_Total,402845,94732884,4134481,3207133,927348,4.4,3.4,1,40390,10,8848471,1319178,837041,482137,14.9,9.5,5.4,2341776,187484,411767,91,53,79501,.,3499,176174,3200345,479845,35639,373779,36749,926012,4126357
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Indian,108280,25345908,939464,743312,196152,3.7,2.9,0.8,8410,7.8,1792756,260914,169688,91226,14.6,9.5,5.1,563222,43587,51617,42,15,30440,.,418,52450,741791,120674,6492,61575,7039,195780,937571
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Pakistani,163480,38614336,1875654,1411288,464366,4.9,3.7,1.2,19370,11.8,4319695,653150,393788,259362,15.1,9.1,6,993806,82782,239671,13,20,24387,.,2186,64754,1407619,240581,17043,189276,16954,463854,1871473
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Bangladeshi,62650,14870060,728381,582818,145563,4.9,3.9,1,7415,11.8,1667631,243395,165931,77464,14.6,10,4.6,439789,30512,79445,7,8,9223,.,348,22953,582285,62077,6637,70856,5808,145378,727663
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_Asian_background,68440,15902580,590982,469715,121267,3.7,3,0.8,5195,7.6,1068389,161719,107634,54085,15.1,10.1,5.1,344959,30603,41034,29,10,15451,.,547,36017,468650,56513,5467,52072,6948,121000,589650
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Black_Total,218360,50794235,1532635,1150514,382121,3,2.3,0.8,13600,6.2,2664525,435006,267722,167284,16.3,10,6.3,838015,92618,80785,66,91,20322,.,14412,102739,1149048,85502,39552,224788,31882,381724,1530772
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Black_Caribbean,42625,10012824,410693,288163,122530,4.1,2.9,1.2,4590,10.8,991636,160537,94653,65884,16.2,9.5,6.6,224357,21969,1482,23,9,5288,.,6346,28626,288100,22930,17802,72114,9669,122515,410615
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Black_African,146555,34045276,896538,697909,198629,2.6,2,0.6,6780,4.6,1231411,200802,127995,72807,16.3,10.4,5.9,490284,57426,73563,37,78,11799,.,6154,57587,696928,49642,14882,116654,17177,198355,895283
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_black_background,29185,6736135,225404,164442,60962,3.3,2.4,0.9,2230,7.6,441478,73667,45074,28593,16.7,10.2,6.5,123374,13223,5740,6,4,3235,.,1912,16526,164020,12930,6868,36020,5036,60854,224874
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Chinese,16710,3872674,99263,79326,19937,2.6,2,0.5,720,4.3,141860,21140,13900,7240,14.9,9.8,5.1,56498,7544,550,11,13,6203,.,220,7887,78926,12613,1288,5078,856,19835,98761
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Any_Other_Ethnic_Group,70845,16161371,670883,495704,175179,4.2,3.1,1.1,6735,9.5,1315406,208302,126384,81918,15.8,9.6,6.2,351088,38445,51315,20,142,13370,.,1381,37724,493485,65579,8608,89750,10349,174286,667771
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minority_Ethnic_Group,1198635,279523981,11806064,9017997,2788067,4.2,3.2,1,121710,10.2,25705178,4094091,2629371,1464720,15.9,10.2,5.7,6854949,592068,605459,400,67679,210917,.,43302,604574,8979348,967276,186123,1467096,155770,2776265,11755613
Autumn and spring term,201516,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Unclassified,34950,6531786,294326,229590,64736,4.5,3.5,1,4720,13.5,691077,115741,79578,36163,16.7,11.5,5.2,181863,15702,5562,4,723,4669,.,1569,16724,226816,15545,6483,37711,4194,63933,290749
Autumn and spring term,201516,National,E92000001,England,State-funded primary,NC year,NC_Year_1_and_below,662365,157327990,6909220,5647559,1261661,4.4,3.6,0.8,69525,10.5,15647224,2422750,1759838,662912,15.5,11.2,4.2,4688169,392445,106203,56,17708,112199,.,16355,273442,5606577,436393,118713,626459,71620,1253185,6859762
Autumn and spring term,201516,National,E92000001,England,State-funded primary,NC year,NC_Year_2,649885,154634441,6041336,4842153,1199183,3.9,3.1,0.8,54560,8.4,12220303,1881402,1303530,577872,15.4,10.7,4.7,3941508,351696,108025,47,15836,107972,.,22366,258471,4805921,431274,112786,581977,64551,1190588,5996509
Autumn and spring term,201516,National,E92000001,England,State-funded primary,NC year,NC_Year_3,651725,155079416,5939290,4766963,1172327,3.8,3.1,0.8,52945,8.1,11859863,1821608,1261512,560096,15.4,10.6,4.7,3869283,334200,109158,81,16802,107382,.,26741,261210,4724857,413647,107738,577753,64853,1163991,5888848
Autumn and spring term,201516,National,E92000001,England,State-funded primary,NC year,NC_Year_4,625695,149175651,5652860,4541950,1110910,3.8,3,0.7,50145,8,11305781,1735867,1214788,521079,15.4,10.7,4.6,3675595,317943,105911,82,15939,99425,.,32143,256977,4504015,391454,95738,554707,61387,1103286,5607301
Autumn and spring term,201516,National,E92000001,England,State-funded primary,NC year,NC_Year_5,590135,141024540,5336704,4293437,1043267,3.8,3,0.7,47855,8.1,10836399,1681916,1186615,495301,15.5,11,4.6,3458213,304690,102147,120,14540,89321,.,36307,251321,4256659,359651,83886,533653,58565,1035755,5292414
Autumn and spring term,201516,National,E92000001,England,State-funded primary,NC year,NC_Year_6,570075,137399456,5239185,4238082,1001103,3.8,3.1,0.7,45965,8.1,10602429,1653922,1181829,472093,15.6,11.1,4.5,3375367,312149,99239,390,14567,80187,.,41391,279281,4202571,334342,76611,525581,57581,994115,5196686
Autumn and spring term,201516,National,E92000001,England,State-funded primary,NC year,NC_Year_7,720,171970,7712,6389,1323,4.5,3.7,0.8,75,10.4,17500,3083,2214,869,17.6,12.7,5,5006,553,136,0,25,108,.,74,487,6389,470,103,737,13,1323,7712
Autumn and spring term,201516,National,E92000001,England,State-funded primary,NC year,NC_Year_8,265,62974,2947,2385,562,4.7,3.8,0.9,20,8.3,4484,775,528,247,17.3,11.8,5.5,1807,250,139,0,40,3,.,17,129,2385,150,13,392,7,562,2947
Autumn and spring term,201516,National,E92000001,England,State-funded primary,NC year,NC_Year_Not_followed_or_missing,27325,647863,113654,49894,63760,17.5,7.7,9.8,11080,40.5,251214,105407,43726,61681,42,17.4,24.6,19737,1627,2097,0,1287,442,.,1515,22762,49467,4421,1331,51419,6136,63307,112774
Autumn and spring term,201516,National,E92000001,England,State-funded primary,FSM,FSM_eligible,587565,137857584,7861664,5713077,2148587,5.7,4.1,1.6,101405,17.3,22733497,3746669,2405904,1340765,16.5,10.6,5.9,4561660,429765,126270,72,23243,57072,.,80085,391445,5669612,303745,273777,1421669,135918,2135109,7804721
Autumn and spring term,201516,National,E92000001,England,State-funded primary,FSM,FSM_Not_eligible,3163305,757018854,27267590,22625841,4641749,3.6,3,0.6,219685,6.9,49760486,7454654,5504950,1949704,15,11.1,3.9,18453288,1584161,504688,704,72214,539525,.,95309,1189873,22439762,2063636,321811,1979590,242659,4607696,27047458
Autumn and spring term,201516,National,E92000001,England,State-funded primary,FSM,FSM_unclassified,27325,647863,113654,49894,63760,17.5,7.7,9.8,11080,40.5,251214,105407,43726,61681,42,17.4,24.6,19737,1627,2097,0,1287,442,.,1515,22762,49467,4421,1331,51419,6136,63307,112774
Autumn and spring term,201516,National,E92000001,England,State-funded primary,SEN provision,SEN_provision_No_identified_SEN,3203245,764882071,28247895,22897732,5350163,3.7,3,0.7,240895,7.5,54346229,8113143,5686347,2426796,14.9,10.5,4.5,18906125,1462919,541191,686,68429,519040,.,44204,1170453,22713047,2045972,426852,2550784,288503,5312111,28025158
Autumn and spring term,201516,National,E92000001,England,State-funded primary,SEN provision,SEN_provision_Statement_or_EHCP,53710,12668619,814118,698631,115487,6.4,5.5,0.9,10255,19.1,2314198,439472,365059,74413,19,15.8,3.2,462774,107032,8762,10,878,11941,.,22202,77825,691424,28682,14833,65147,6013,114675,806099
Autumn and spring term,201516,National,E92000001,England,State-funded primary,SEN provision,SEN_provision_SEN_Support,494120,117335869,6068982,4743160,1325822,5.2,4,1.1,70025,14.2,15837577,2650263,1859914,790349,16.7,11.7,5,3646317,444001,81013,80,26214,65616,.,108997,333270,4705508,293025,153916,786146,84068,1317155,6022663
Autumn and spring term,201516,National,E92000001,England,State-funded primary,SEN provision,SEN_provision_Unclassified,27120,637742,111913,49289,62624,17.5,7.7,9.8,10995,40.5,247193,103852,43260,60592,42,17.5,24.5,19469,1601,2089,0,1223,442,.,1506,22532,48862,4123,1318,50601,6129,62171,111033
Autumn and spring term,201516,National,E92000001,England,State-funded primary,First language,First_language_Known_or_believed_to_be_English,2997430,715209077,27653957,22589734,5064223,3.9,3.2,0.7,254675,8.5,56734719,8837265,6381316,2455949,15.6,11.2,4.3,18654601,1641915,133159,633,95022,457869,.,160579,1244911,22388689,1644957,520760,2568990,290136,5024843,27413532
Autumn and spring term,201516,National,E92000001,England,State-funded primary,First language,First_language_Known_or_believed_to_be_other_than_English,773080,178648328,7517947,5745197,1772750,4.2,3.2,1,76620,9.9,15859020,2443237,1556495,886742,15.4,9.8,5.6,4340029,369965,497838,143,1254,138118,.,15918,355145,5718410,722920,74736,873761,93175,1764592,7483002
Autumn and spring term,201516,National,E92000001,England,State-funded primary,First language,First_language_Unclassified,7685,1666896,71004,53881,17123,4.3,3.2,1,875,11.4,151458,26228,16769,9459,17.3,11.1,6.2,40055,3673,2058,0,468,1052,.,412,4024,51742,3925,1423,9927,1402,16677,68419
